"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Visualizaciones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Impresiones del anuncio","CPM del anuncio (USD)","Comentarios negativos de los usuarios: Ocultar"
1232110278956302,100064720237286,"Alcaldía de Tuluá",,,0,"09/07/2025 18:24",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid0LF6jhKqVhzQasX881qshd2U8b2zkufinufr9Mut511hmqEvwPZKfvqzCduY6gGBVl,0,1,Fotos,,,,,Total,1622,988,12,10,0,2,181,117,64,,,,,,,
1232095185624478,100064720237286,"Alcaldía de Tuluá","🌈 El Lago Chilicote recibió a la Ruta de la felicidad 🤩✨💙

Las familias de Sajonia, Salesianos y barrios aledaños vivieron una jornada inolvidable con salud 🩺, vacunación para peluditos 🐶🐾, arte y cultura 🎭, música en vivo 🎶 y toda la oferta institucional de la Alcaldía.

Un encuentro lleno de sonrisas, unión y alegría #ParaSerFelices ✨🌟",,0,"09/07/2025 17:59",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02SRxrzYGxaPwDod94BNtSpzegs4sW8gg8jbp7wVYsmHa498xXvyvfnai9rYT7rSXSl,0,0,Fotos,,,,,Total,9386,5435,104,86,1,17,975,722,253,,,,,,,
1231760502324613,100064720237286,"Alcaldía de Tuluá","🚔👊 Capturadas 5 personas que hurtaban el comercio en Tuluá🚨

Gracias a la denuncia ciudadana y a la rápida reacción de la @policiavalledelcauca, fueron capturadas 5 personas (3 hombres y 2 mujeres) señaladas de hurtar en establecimientos comerciales.

🔫 En el operativo se incautó un arma traumática y se recuperaron elementos robados.

📞 Recuerda: ante cualquier hecho delictivo, denuncia a la línea 123.","🚔👊 Capturadas 5 personas que hurtaban el comercio en Tuluá🚨

Gracias a la denuncia ciudadana y a la rápida reacción de la @policiavalledelcauca, fueron capturadas 5 personas (3 hombres y 2 mujeres) señaladas de hurtar en establecimientos comerciales.

🔫 En el operativo se incautó un arma traumática y se recuperaron elementos robados.

📞 Recuerda: ante cualquier hecho delictivo, denuncia a la línea 123.",87,"09/07/2025 08:05",uploaded,https://www.facebook.com/reel/1084605993860566/,1,0,Reels,,,,,Total,1229,977,51,42,3,6,57,,57,,26245.552,21.407,0,0,,
1231666789000651,100064720237286,"Alcaldía de Tuluá","🎶💃✨ Comuna 8 en movimiento regresó a Bosques de Maracaibo 🌳

Más de 200 personas disfrutaron de arte, cultura, deporte e inclusión en un encuentro lleno de alegría y talento local. 💙🙌 Espacios para que nuestras familias sean felices 💙✌🏽","🎶💃✨ Comuna 8 en movimiento regresó a Bosques de Maracaibo 🌳

Más de 200 personas disfrutaron de arte, cultura, deporte e inclusión en un encuentro lleno de alegría y talento local. 💙🙌 Espacios para que nuestras familias sean felices 💙✌🏽",31,"09/07/2025 06:01",N/A,https://www.facebook.com/reel/1723476258357600/,1,0,Reels,,,,,Total,1897,1262,105,48,4,53,53,,53,,13341.686,7.059,0,0,,
1231338042366859,100064720237286,"Alcaldía de Tuluá",,,0,"09/06/2025 20:00",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02fsWEaiJ3bsHzeb7cF2VLHXKtbvr5TSDpvjyDXgRscRsij2dPSKA9FXemiWMEztn7l,0,1,Fotos,,,,,Total,1183,814,9,8,0,1,35,23,12,,,,,,,
1231337532366910,100064720237286,"Alcaldía de Tuluá",,,0,"09/06/2025 19:59",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid026dwtx6W5ZKBLWfZe8kGSrDU6mfUMYZwHWz1wtzJtmDvCdaDM5XhgnknXXB3d5sDVl,0,1,Fotos,,,,,Total,589,392,4,4,0,0,3,1,1,1,,,,,,
1231252482375415,100064720237286,"Alcaldía de Tuluá","#Noticias | Conoce las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽","#Noticias | Conoce las noticias más importantes de la semana en el nuevo episodio de 45 Segundos #ParaSerFelices 🤩✌🏽",82,"09/06/2025 17:25",uploaded,https://www.facebook.com/reel/1331611455150074/,1,0,Reels,,,,,Total,976,820,64,55,1,8,26,,25,1,14511.691,14.929,0,0,,
1231043055729691,100064720237286,"Alcaldía de Tuluá","🎙️ #ElPodcastdeVélez | Episodio 30. El futuro está aquí: Tuluá en el segundo semestre del 2025.

En este episodio, el alcalde Gustavo Vélez habla sobre la generación de empleo en el segundo semestre a través del deporte, el bienestar social, el arte y la cultura. 💼✨
También cuenta cómo las jornadas descentralizadas acercan la Administración a los diferentes sectores del municipio, tanto urbanos como rurales, y de la renovación de infraestructuras en salud para brindar espacios más dignos a los tulueños. 🏥💙","🎙️ #ElPodcastdeVélez | Episodio 30. El futuro está aquí: Tuluá en el segundo semestre del 2025.

En este episodio, el alcalde Gustavo Vélez habla sobre la generación de empleo en el segundo semestre a través del deporte, el bienestar social, el arte y la cultura. 💼✨
También cuenta cómo las jornadas descentralizadas acercan la Administración a los diferentes sectores del municipio, tanto urbanos como rurales, y de la renovación de infraestructuras en salud para brindar espacios más dignos a los tulueños. 🏥💙",1277,"09/06/2025 10:09",N/A,https://www.facebook.com/AlcaldiaDeTulua/videos/656229797034954/,0,0,Videos,,,,,Total,1875,1503,175,118,24,33,119,,119,,51921.346,31.563,0,0,0,
1230621719105158,100064720237286,"Alcaldía de Tuluá","🌺✨ ¡La cultura se vivió a lo grande en el corregimiento de Nariño! 🎶💃

Una tarde llena de música en vivo, arte y danza que unió a la comunidad en un espacio de alegría y tradición. 💙🌿

Gracias a todos los que nos acompañaron y hicieron parte de esta experiencia inolvidable. 🙌🎉

#culturaalparque",,0,"09/05/2025 22:14",N/A,https://www.facebook.com/AlcaldiaDeTulua/posts/pfbid02UW6SeEqwwnZ54rX71dmnsbxZ5gvxkd8T4LQqqpzWPTNd3jJPrm9YExMLN84K3w3Gl,0,0,Fotos,,,,,Total,4607,2884,50,39,0,11,242,169,73,,,,,,,
1230395039127826,100064720237286,"Alcaldía de Tuluá","🎶💃 Cultura al Barrio llegó a Siete Canchas con música, arte y mucho sabor.

La comunidad disfrutó de una tarde llena de alegría, cultura y diversión 🌟🙌.

Seguimos llevando espacios que transforman y llenan de vida a cada rincón de Tuluá 💙✨.
#ParaSerFelices","🎶💃 Cultura al Barrio llegó a Siete Canchas con música, arte y mucho sabor.

La comunidad disfrutó de una tarde llena de alegría, cultura y diversión 🌟🙌.

Seguimos llevando espacios que transforman y llenan de vida a cada rincón de Tuluá 💙✨.
#ParaSerFelices",41,"09/05/2025 14:59",uploaded,https://www.facebook.com/reel/778691081689515/,1,0,Reels,,,,,Total,805,682,30,24,0,6,11,,11,,4143.031,5.652,0,0,,
